track_id,target_latitude,target_longitude,obj_class
1,31.181792694951557,121.47136086142706,boat
2,31.181916858117965,121.4711790945584,person
3,31.181800994094388,121.47141055573115,person
4,31.18193977904511,121.47119777772758,person
5,31.181862741264236,121.4712641093744,person
6,31.181851531856637,121.4712954806314,person
7,31.181740464241827,121.4713637763761,person
8,31.181798150645616,121.4713660329,person
9,31.18180535433049,121.4713650161515,person
10,31.18186051981725,121.47125599496157,person
11,31.181816258706228,121.47130590402595,person
12,31.181832107088944,121.47134339736478,person
14,31.18177480410084,121.47136678542304,person
19,31.181821903430063,121.4714037764777,person
28,31.18176056709279,121.47137001114346,person
29,31.18182539865859,121.4714031882105,person
32,31.18186869947756,121.47128654690523,person
33,31.18185966762247,121.47126031527576,person
39,31.18188470116752,121.4712710623925,person
41,31.18182452647184,121.47133868286778,person
45,31.18191584405897,121.4712034040873,person
47,31.181815523556025,121.47138161586314,person
48,31.18183409555004,121.47130582253108,person
50,31.182305475192223,121.47098675992278,boat
51,31.18177272759184,121.47134189995032,person
68,31.181931421846453,121.47119548809611,person
77,31.181982629066525,121.47113042794236,person
78,31.181933859294595,121.47118399749714,person
86,31.18195545105412,121.47118260730636,person
89,31.181918052584223,121.4711691271232,boat
97,31.182374464878745,121.4709838579898,boat
102,31.182404140062744,121.470953633111,boat
105,31.18247839770772,121.47086815462993,boat
107,31.182825380660063,121.47135803550776,boat
108,31.18249138632597,121.4707437039471,boat
109,31.182863830308104,121.47126263038705,boat
110,31.182880064754347,121.471219571362,boat
111,31.18250165279599,121.47066916734224,boat
121,31.18231547520044,121.47044276185052,boat
122,31.18180752102981,121.47061852496758,boat
124,31.18159383764246,121.47032339586777,boat
128,31.181561353251865,121.47034540683715,train
131,31.18177279548768,121.4706890427436,person
138,31.181722527244304,121.47080627771082,person
143,31.1817137625998,121.4708178221796,person
144,31.181715551329354,121.47079965531556,person
160,31.181658462748967,121.47081983842406,person
163,31.18163017355838,121.47087346465054,person
169,31.181616521712566,121.47089362034993,person
171,31.181644161384757,121.4708120931667,person
174,31.181637845790387,121.47072783813417,person
179,31.181587139140703,121.47093773218428,person
181,31.181587808941995,121.47095334611392,person
187,31.18160568683535,121.47074169104302,person
191,31.181536030399812,121.47096415433926,person
193,31.181521215141373,121.47094057308466,person
198,31.181516802995024,121.47093979820588,person
199,31.18151927005153,121.47096789858657,person
201,31.181721291883413,121.47032888565818,boat
210,31.18150823447739,121.47103300977348,person
211,31.181591485430207,121.47074845261469,person
212,31.181563636420524,121.47072387194672,person
213,31.181535727689177,121.47074824030176,person
219,31.181557548044868,121.47073623989844,person
223,31.181423663225345,121.4710587976486,person
225,31.181503895065774,121.47075225737028,person
228,31.18136160966822,121.47108723133115,person
235,31.18145598948705,121.47078565194428,person
237,31.181406270084064,121.47085597944056,person
241,31.181457498054883,121.47078704467104,person
243,31.18130158914446,121.4711075091195,person
245,31.181388330112995,121.47105859767886,person
246,31.181353417504752,121.47119719012076,person
265,31.181492494220347,121.47082185152186,person
266,31.18140811750257,121.47083057086036,person
267,31.18137562786248,121.4710366689772,person
270,31.18136709359589,121.47097222235357,person
271,31.181402092555672,121.4709709215237,person
274,31.181362766128554,121.47097780227138,person
275,31.18129945677816,121.47118321343495,person
277,31.181327653997307,121.47113737931492,person
279,31.181346223016703,121.4709720961072,person
280,31.181386462520862,121.47084888427956,person
286,31.181353123102586,121.4709074880076,person
287,31.181367282896883,121.47088752701156,person
294,31.18135687585442,121.4710346189801,person
300,31.181285673539747,121.47109526081503,person
303,31.181252955044965,121.47124944148716,person
310,31.18128594052652,121.47112680812204,person
312,31.181247853681285,121.4711981244338,person
313,31.181281946964653,121.4712587852967,person
314,31.18117689300614,121.47130611087212,person
321,31.18107558280741,121.4716867570165,boat
326,31.18127973724487,121.47124918137992,person
333,31.18115119284964,121.47135073253212,person
337,31.18127585515049,121.47139855958616,person
341,31.181278826141835,121.47140856060513,person
353,31.18025832239743,121.47170744881468,bus
368,31.181733121068643,121.47189516026472,bird
369,31.181784592172832,121.47198328666104,person
395,31.181758539868717,121.47193172544226,bird
399,31.181664282002803,121.47209917091551,person
407,31.181863346721464,121.47189835445262,person
409,31.18179925896018,121.47195250333344,person
416,31.181799260831063,121.47196665715762,bird
424,31.18194728470475,121.4719370055286,person
429,31.18189890205726,121.47209699925776,person
431,31.181900178210714,121.47192264203684,person
444,31.18185325171529,121.47198314693154,bird
448,31.181771316713625,121.47217294301392,person
452,31.181771177529203,121.47216880982472,person
457,31.18199768062389,121.4721147058656,person
468,31.18217198606839,121.47190195700658,person
471,31.182172771430302,121.47190142492092,person
485,31.18205595532914,121.47191251776565,person
490,31.18208947609913,121.4720827005984,person
492,31.18240922697901,121.47185833260286,person
497,31.182092861469187,121.4719325128406,person
498,31.18207351511428,121.47203962367767,person
499,31.182329832384013,121.47211555902246,person
507,31.182459809645017,121.47203489712524,person
508,31.18247019187474,121.472022742493,person
510,31.18241815808715,121.4721130901886,person
513,31.18240497816813,121.47213147480016,person
516,31.18248171408567,121.47201748133516,person
519,31.182435850811828,121.47189758484777,person
520,31.182496092820053,121.47200294763482,person
523,31.182425922011586,121.47200963407168,person
525,31.18253071442172,121.47209452518366,car
531,31.182494087008735,121.47186743026116,person
535,31.18242957092469,121.47199141064326,person
543,31.18250772462024,121.47184856044926,person
547,31.18248129604969,121.47184906489916,person
551,31.18251183511383,121.4718392457,person
553,31.18253300566297,121.4719633887902,person
555,31.1824418367872,121.47185854311851,bench
557,31.182627252247222,121.47174422520612,person
561,31.18253931354021,121.47196643447396,person
